group,conditional_cat,demo_cat,property_offense,drug_offense,violent_offense,times_arrested,demo_var,conditional_var
All,1.0,6,2.4013979639368603,2.3621301183093357,1.6162775398410172,4.207242419301444,age,rest_less
All,5.0,1,1.5321362363922653,2.034873081790479,1.80650177536425,7.084047809836326,age,hopeless
All,5.0,2,1.7312762274726636,2.084702189891814,1.614900156664001,13.039937350446708,age,hopeless
All,5.0,3,2.8534858719295255,2.6306324372479235,1.8803055600456273,9.415039862237753,age,hopeless
All,5.0,4,2.066683210985373,2.958893662966368,1.6793126794598423,11.539694066108131,age,hopeless
All,5.0,5,1.9112724115018875,1.8428862871175062,1.798772500222363,8.075568792758983,age,hopeless
All,5.0,6,2.5489999103222964,2.2446290733532948,1.5468313259378952,8.156272754269999,age,hopeless
All,4.0,1,7.021084517486295,2.322014622344249,1.7671847922135893,6.627852386715317,age,hopeless
All,4.0,2,1.7873661177671847,2.0996767589613925,1.7955766025766458,9.080964562476439,age,hopeless
All,4.0,3,2.165847306488251,3.0242986110741468,1.5442239526505281,10.638253140367224,age,hopeless
All,4.0,4,2.8129542923852373,2.517325601217501,1.9949576315763355,12.212189561354519,age,hopeless
All,4.0,5,3.4295906567440215,3.2326018593808694,1.430947542929048,8.32331812171241,age,hopeless
All,4.0,6,1.7888531677747668,1.0,1.0794207158158398,3.73016060242344,age,hopeless
All,3.0,1,1.6594413706785782,1.6622710454540535,1.6858056534827122,6.827936999923957,age,hopeless
All,3.0,2,2.950846005008597,2.0142834100841003,1.5935627468728157,8.833136457900187,age,hopeless
All,3.0,3,2.3292107758983613,2.316867743958741,1.4685936874407415,11.244071073054819,age,hopeless
All,3.0,4,2.770765526447717,2.263139196382316,1.7146132888692232,9.852673799118813,age,hopeless
All,3.0,5,2.4428850239496542,1.7572759484427165,1.653415273963718,9.019854895266043,age,hopeless
All,3.0,6,2.512749063670738,1.6746937419676156,1.8835929593344438,5.677879926756156,age,hopeless
All,2.0,1,1.813671796922894,1.8366857909364303,1.422017361280975,6.67897376558355,age,hopeless
All,2.0,2,2.2112076623847474,2.0767387215353077,1.6279589260287333,8.472963873177472,age,hopeless
All,2.0,3,2.0561597658648365,2.219059107591837,1.6473327336628978,9.340398640383595,age,hopeless
All,2.0,4,2.5562513966988916,2.0907678218974595,1.5327236018194121,8.820302469702678,age,hopeless
